key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,5.339,space,10.307,space,5.262,48.1,4.81,266.1122661,166.3201663,1280,space,18.969,space,9.398,96.2,space,14.408,space,3.493,space,1.053,space,6.095,space,6.671,space,6.281,space,20.426,space,17.255,space,16.898,return,6.074,-201.6,617.954058,0,0,0,0,1,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.09,-195.84,612.9660881,1,0,1,0,1,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.764,-170.88,591.3515515,2,0,2,0,1,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.68,-157.44,579.7129549,3,0,3,0,1,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.848,-172.8,593.0142082,4,0,4,0,1,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,59,10.29848462,74.30356657,495.3571104,49.53571104,222.9106997,space,4.384,space,6.39,space,23.393,space,10.639,space,1.993,space,5.045,9,PF,-70,34,1,0,0,response7disk_5,3,1,18.799,2,6,1,0,0,rectangle_8,2,6,1,0,0,3,2,6,1,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,2,FF,-36,87,1,0,0,response7disk_5,2,0,4.954,1,-4,1,0,0,rectangle_8,-39,-70,1,0,0,3,1,1,1,0,0,0,1,1,3,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,5,PF,53,76,1,0,0,response1disk_5,9,7,3.678,3,7,1,0,0,rectangle_8,3,7,1,0,0,3,3,7,1,0,0,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,5,PF,82,56,1,0,0,response1disk_5,2,6,2.286,-22,-13,1,0,0,rectangle_8,-42,-78,1,0,0,3,2,-7,1,0,0,0,3,3,2,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,6,FF,-19,66,1,0,0,response7disk_5,6,0,1.792,-18,-9,1,0,0,rectangle_8,-18,-9,1,0,0,3,-18,-9,1,0,0,0,4,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e3f0bbe9907e915e0179f44,5ff3a3f40a5e7fa057a9baed,2021-01-04_23h26.07.443,Colour_Similarity_Experiment_v1,2020.1.2,MacIntel,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,2,PF,24,84,1,0,0,response1disk_5,8,7,2.641,-1,-14,1,0,0,rectangle_8,-1,-14,1,0,0,3,-1,-14,1,0,0,0,5,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
