key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.9898,space,40.750615,space,4.3749,44.8,4.48,342.8571429,192.8571429,1536,space,81.03583,space,14.610795,89.6,space,10.552495,space,4.310485,space,1.52681,space,9.83274,space,4.795115,space,14.13274,space,5.232035,space,10.281145,space,16.14071,return,6.2418,-182.016,740.4715654,0,0,0,0,1,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.09753,-126.72,689.0598463,1,0,1,0,1,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.893105,-99.072,663.3539867,2,0,2,0,1,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.76222,-82.944,648.358902,3,0,3,0,1,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.94909,-105.984,669.7804516,4,0,4,0,1,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,67,11.69488932,78.58965623,523.9310415,52.39310415,235.7689687,space,3.32561,space,4.59919,space,23.35692,space,3.93525,space,2.558245,space,4.745355,5,FF,37.60006083,95.99999499,1,0,0,response1disk_5,2,7,33.28478,-2.399939764,-3.200006485,1,0,0,rectangle_8,29.60006071,94.39999497,1,0,0,response1disk_7,7,7,6.400011539,-6.4373E-06,1,0,0,rectangle_4,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,7,PF,44.0000121,83.99999481,1,0,0,response1disk_5,2,7,3.731475,-15.99998879,0.799993575,1,0,0,rectangle_8,39.20001203,68.79999459,1,0,0,response1disk_7,7,7,4.000011504,1.599993587,1,0,0,rectangle_4,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,4,FF,-46.39994042,-87.20000774,1,0,0,response5disk_5,9,3,4.55596,-4.799988627,1.599993587,1,0,0,rectangle_8,-4.799988627,1.599993587,1,0,0,,,7,-4.799988627,1.599993587,1,0,0,,0,2,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,7,FF,83.20001268,43.19996979,1,0,0,response1disk_5,6,6,2.42949,-9.599988699,-7.200006545,1,0,0,rectangle_8,-9.599988699,-7.200006545,1,0,0,,,7,-9.599988699,-7.200006545,1,0,0,,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5f7728d67080aa1f45a8b4fd,5ff3a3c79bca6f98934e0ba9,2021-01-05_00h26.33.983,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,6,PF,-55.19998938,87.19997045,1,0,0,response7disk_5,1,0,3.03058,-18.39994,1.599993587,1,0,0,rectangle_8,-18.39994,1.599993587,1,0,0,,,7,-18.39994,1.599993587,1,0,0,,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
